slug,name,type,url
"all-in-capital","All In Capital","Venture Capital","https://vcdekho.com/funds/all-in-capital"
"bharat-angels-fund","Bharat Angels Fund","Venture Capital","https://vcdekho.com/funds/bharat-angels-fund"
"anthill-ventures","Anthill Ventures","Venture Capital","https://vcdekho.com/funds/anthill-ventures"
"gemba-capital","Gemba Capital","Venture Capital","https://vcdekho.com/funds/gemba-capital"
"athera-venture-partners-formerly-inventus-india","Athera Venture Partners (formerly Inventus India)","Venture Capital","https://vcdekho.com/funds/athera-venture-partners-formerly-inventus-india"
"accel","Accel","Venture Capital","https://vcdekho.com/funds/accel"
"anchorage-capital","Anchorage Capital","Family Office","https://vcdekho.com/funds/anchorage-capital"
"huddle-ventures","Huddle Ventures","Venture Capital","https://vcdekho.com/funds/huddle-ventures"
"jsw-ventures","JSW Ventures","Venture Capital","https://vcdekho.com/funds/jsw-ventures"
"pravega-ventures","Pravega Ventures","Venture Capital","https://vcdekho.com/funds/pravega-ventures"
"emphasis-ventures-emvc","Emphasis Ventures (EMVC)","Venture Capital","https://vcdekho.com/funds/emphasis-ventures-emvc"
"bluelotus-ventures","BlueLotus Ventures","Syndicate / Network","https://vcdekho.com/funds/bluelotus-ventures"
"chiratae-ventures","Chiratae Ventures","Venture Capital","https://vcdekho.com/funds/chiratae-ventures"
"turbostart","Turbostart","Venture Capital","https://vcdekho.com/funds/turbostart"
"sig","SIG","Venture Capital","https://vcdekho.com/funds/sig"
"rtp-global","RTP Global","Venture Capital","https://vcdekho.com/funds/rtp-global"
"gradcapital","gradCapital","Venture Capital","https://vcdekho.com/funds/gradcapital"
"trifecta-growth-equity","Trifecta Growth Equity","Venture Capital","https://vcdekho.com/funds/trifecta-growth-equity"
"together","Together","Venture Capital","https://vcdekho.com/funds/together"
"tanglin-venture-partners","Tanglin Venture Partners","Venture Capital","https://vcdekho.com/funds/tanglin-venture-partners"
"lightspeed","Lightspeed","Venture Capital","https://vcdekho.com/funds/lightspeed"
"india-quotient","India Quotient","Venture Capital","https://vcdekho.com/funds/india-quotient"
"iti-growth-opportunities","ITI Growth Opportunities","Venture Capital","https://vcdekho.com/funds/iti-growth-opportunities"
"growth-valley","Growth valley","Syndicate / Network","https://vcdekho.com/funds/growth-valley"
"prime-venture-partners","Prime Venture Partners","Venture Capital","https://vcdekho.com/funds/prime-venture-partners"
"peak-sustainability-ventures","Peak Sustainability Ventures","Venture Capital","https://vcdekho.com/funds/peak-sustainability-ventures"
"3one4-capital","3one4 Capital","Venture Capital","https://vcdekho.com/funds/3one4-capital"
"the-venture-guys","The Venture Guys","Syndicate / Network","https://vcdekho.com/funds/the-venture-guys"
"faad-network","Faad Network","Syndicate / Network","https://vcdekho.com/funds/faad-network"
"innoven-capital","Innoven Capital","Venture Capital","https://vcdekho.com/funds/innoven-capital"
"eques-capital","Eques Capital","Venture Capital","https://vcdekho.com/funds/eques-capital"
"eximius-ventures","Eximius Ventures","Venture Capital","https://vcdekho.com/funds/eximius-ventures"
"ashvik-kapital","Ashvik Kapital","Syndicate / Network","https://vcdekho.com/funds/ashvik-kapital"
"international-finance-corporation-ifc","International Finance Corporation (IFC)","Development Finance Institution / VC","https://vcdekho.com/funds/international-finance-corporation-ifc"
"dholakia-ventures","DHOLAKIA VENTURES","Family Office","https://vcdekho.com/funds/dholakia-ventures"
"the-endless-network","The Endless Network","Syndicate / Network","https://vcdekho.com/funds/the-endless-network"
"dexter-angels","Dexter Angels","Syndicate / Network","https://vcdekho.com/funds/dexter-angels"
"originity-origin-to-eternity-llp","Originity (Origin To Eternity LLP)","Family Office","https://vcdekho.com/funds/originity-origin-to-eternity-llp"
