slug,name,company,url
"sanya-chawla","Sanya Chawla","Anicut Capital","https://vcdekho.com/investors/sanya-chawla"
"ananya-malhotra","Ananya Malhotra","Anicut Capital","https://vcdekho.com/investors/ananya-malhotra"
"mamtesh-sugla","Mamtesh Sugla","TPG NewQuest","https://vcdekho.com/investors/mamtesh-sugla"
"rajat-agarwal-2","Rajat Agarwal","12 Flags","https://vcdekho.com/investors/rajat-agarwal-2"
"akshit-khanijo","Akshit Khanijo","12 Flags","https://vcdekho.com/investors/akshit-khanijo"
"kaveesh-thakker","Kaveesh Thakker","Multiples Alternate Asset Management","https://vcdekho.com/investors/kaveesh-thakker"
"shanil-verma","Shanil Verma","Multiples Alternate Asset Management","https://vcdekho.com/investors/shanil-verma"
"ajit-prabhakar","Ajit Prabhakar","Avendus","https://vcdekho.com/investors/ajit-prabhakar"
"pranjay-modi","Pranjay Modi","Avendus","https://vcdekho.com/investors/pranjay-modi"
"aastha-vij","Aastha Vij","The Fundamentum Partnership","https://vcdekho.com/investors/aastha-vij"
"devesh-vij","Devesh Vij","The Fundamentum Partnership","https://vcdekho.com/investors/devesh-vij"
"anshu-prasher","Anshu Prasher","Whiteboard Capital","https://vcdekho.com/investors/anshu-prasher"
"shifani-jesani","Shifani Jesani","Whiteboard Capital","https://vcdekho.com/investors/shifani-jesani"
"bhuvan-beejawat","Bhuvan Beejawat","Sofina","https://vcdekho.com/investors/bhuvan-beejawat"
"maxence-tombeur","Maxence Tombeur","Scalable Capital","https://vcdekho.com/investors/maxence-tombeur"
"manish-maheshwari","Manish Maheshwari","BAT VC","https://vcdekho.com/investors/manish-maheshwari"
"aditya-m","Aditya M.","BAT VC","https://vcdekho.com/investors/aditya-m"
"nilesh-balakrishnan","Nilesh Balakrishnan","Kriscore Capital","https://vcdekho.com/investors/nilesh-balakrishnan"
"jash-mehta","Jash Mehta","Kriscore Capital","https://vcdekho.com/investors/jash-mehta"
